11/09/2000 Kansas                  99 UCLA                    98 N New York, NY
11/18/2000 Santa Clara             70 Davidson                51 N Fairbanks, AK
11/18/2000 Morris Brown            72 West Virginia           84
11/18/2000 Dartmouth               49 Arkansas St.            67 N Poughkeepsie, NY
11/18/2000 Albany (NY)             56 Catholic                59 N New Britain, CT
11/18/2000 Boise St.               61 Cincinnati              73
11/18/2000 Tennessee St.           86 Louisiana Tech          93 N Fayetteville, AR
11/18/2000 Iona                    65 Massachusetts           67
11/18/2000 Western Carolina        63 Vanderbilt              85
11/18/2000 Belmont Abbey           44 Winthrop                55
11/18/2000 Alcorn St.              64 NC Wilmington           90 N Norman, OK
11/18/2000 Fordham                 81 Pennsylvania            78 N Raleigh, NC
11/18/2000 Loyola (MD)             85 Morgan St.              76 N Catonsville, MD
11/18/2000 Youngstown St.          64 St. Francis (PA)        63
11/18/2000 McNeese St.             74 Mississippi St.         83
11/18/2000 Elon                    46 Stetson                 75
11/18/2000 Texas A&M               74 George Washington       94
11/18/2000 Stony Brook             62 St. John's (NY)         92
11/18/2000 Holy Cross              57 Providence              63
11/18/2000 Hofstra                 78 Florida International   50
11/18/2000 Coastal Carolina        69 Jacksonville            88
11/18/2000 Fairfield               61 Rhode Island            86
11/18/2000 North Georgia           71 Georgia Southern        93
11/18/2000 Wilberforce             72 IUPUI                  122
11/18/2000 Gardner Webb            57 Old Dominion            84
11/18/2000 Miami (FL)              76 Florida Atlantic        59
11/18/2000 SW Missouri St.         71 New Orleans             64
11/18/2000 East Carolina           81 Marist                  73
11/18/2000 Lafayette               72 Cornell                 62
11/18/2000 Columbia                40 Central Connecticut     62
11/18/2000 Rice                    69 Navy                    51
11/18/2000 Samford                 63 Louisiana Monroe        69
11/18/2000 Texas San Antonio       55 Kansas St.              71
11/18/2000 Arkansas Little Rock    53 Northwestern            43
11/18/2000 Texas Wesleyan          78 Texas Arlington         86
11/18/2000 Sacred Heart            58 Notre Dame             104
11/18/2000 Sul Ross St.            60 Texas Pan American     102
11/18/2000 Lamar                   78 Texas Southern          69
11/18/2000 Indiana South Bend      66 Valparaiso              80
11/18/2000 Western Kentucky        61 Evansville              59
11/18/2000 South Carolina St.      71 St. Joseph's (PA)       84 N Nashville, TN
11/18/2000 St. Edwards             62 SW Texas St.            77
11/18/2000 Western Illinois        60 Montana St.             79
11/18/2000 Cal Riverside           59 Wyoming                 77
11/18/2000 Southern Mississippi    63 Arkansas                54
11/18/2000 Towson                  72 MD Baltimore County     87
11/18/2000 La Salle                72 Oklahoma                89
11/18/2000 Charlotte               95 North Carolina St.      78
11/18/2000 Chico St.               59 Pacific                101
11/18/2000 Southern Oregon         58 Colorado St.           101
11/18/2000 Cal San Diego           48 San Diego St.           80
11/18/2000 Bradley                 92 Southern California    107
11/18/2000 South Florida           66 Utah St.                69 N Fairbanks, AK
11/18/2000 Spring Arbor            44 Central Michigan        86
11/18/2000 Atlanta Christian       68 Furman                 115
11/18/2000 Lock Haven (PA)         77 Bucknell                85
11/18/2000 East Texas Baptist      56 Centenary               93
11/18/2000 Occidental              48 San Diego               79
11/19/2000 Utah St.                76 Austin Peay             80 N Fairbanks, AK
11/19/2000 Vermont                 74 Lehigh                  67
11/19/2000 St. Francis (NY)        53 Syracuse                73
11/19/2000 Radford                 62 American                74
11/19/2000 US Coast Guard          72 Army                    80
11/19/2000 Fairleigh Dickinson     61 Rutgers                 64
11/19/2000 North Carolina A&T      56 Duquesne                82
11/19/2000 St. Peter's             75 Boston College         100
11/19/2000 Warren Wilson           47 High Point              69
11/19/2000 Oakland                 61 Michigan St.            97
11/19/2000 Yale                    70 Cleveland St.           80
11/19/2000 East Tennessee St.      76 Tennessee              102
11/19/2000 Jackson St.             66 Davidson                78 N Fairbanks, AK
11/19/2000 Jacksonville St.        51 Auburn                  91
11/19/2000 Cal Santa Barbara       53 Pepperdine              64
11/19/2000 Georgia                 74 Minnesota               77
11/19/2000 Loyola Chicago          60 Stephen F. Austin       64
11/19/2000 Colorado               100 South Florida           72 N Fairbanks, AK
11/19/2000 South Carolina St.      61 Western Carolina        58 N Nashville, TN
11/19/2000 Wisconsin Green Bay     58 Gonzaga                 85
11/19/2000 Carroll (MT)            76 Montana                 86
11/19/2000 New Mexico St.          82 St. Mary's (CA)         64
11/19/2000 St. Joseph's (PA)       76 Vanderbilt              78
11/19/2000 Howard                  73 Cal St. Northridge      90
11/19/2000 St. Bonaventure         87 Fresno St.              74
11/19/2000 San Francisco St.       49 Stanford               100
11/19/2000 Wisconsin Milwaukee     79 Iowa                    83
11/19/2000 Santa Clara             63 Alaska Fairbanks        49
11/20/2000 Louisville              73 Maryland                95 N Lahaina, HI
11/20/2000 Portland St.            55 Washington St.          83
11/20/2000 Cal San Diego           67 Cal Poly-SLO            89
11/20/2000 Southern Colorado       23 Oregon St.              91
11/20/2000 Arizona                 97 Chaminade               57
11/20/2000 Dayton                  80 Connecticut             66 N Lahaina, HI
11/20/2000 Savannah St.            45 Georgia St.             88
11/20/2000 Massachusetts           64 Marquette               68
11/20/2000 VMI                     69 James Madison           87
11/20/2000 Slippery Rock           59 Youngstown St.          85
11/20/2000 Towson                  56 Morgan St.              59 N Catonsville, MD
11/20/2000 Hampton                 73 Eastern Michigan        71
11/20/2000 William & Mary          48 Virginia Tech           46
11/20/2000 George Mason            80 Drexel                  72
11/20/2000 Robert Morris           71 Appalachian St.         86
11/20/2000 Wayne St. (MI)          73 Detroit                 98
11/20/2000 Limestone               72 The Citadel             78
11/20/2000 Old Dominion            89 George Washington       91
11/20/2000 Wake Forest             69 Richmond                61
11/20/2000 Delaware St.            54 Delaware                79
11/20/2000 Huntington (IN)         73 Morehead St.            80
11/20/2000 Northeastern            66 Navy                    87
11/20/2000 Morris Brown            53 Pittsburgh              74
11/20/2000 Tennessee Tech          52 South Carolina St.      72
11/20/2000 Coastal Carolina        78 Virginia               117
11/20/2000 North Texas             74 Texas A&M               77
11/20/2000 VA Commonwealth         80 Tulane                  84
11/20/2000 Troy St.                64 Alabama                 92
11/20/2000 Southwestern            54 Arkansas St.           104
11/20/2000 Mercer                  92 Auburn                  88
11/20/2000 Louisiana Monroe        49 LSU                     92
11/20/2000 Gardner Webb            76 Murray St.             103
11/20/2000 Alabama St.             58 TCU                    104
11/20/2000 Bethel (TN)             65 Tennessee Martin       121
11/20/2000 Middle Tennessee St.    71 Tennessee St.           75
