date,visitor,visitor_score,home,home_score,notes,location
11/08/2001,Temple,64,Florida,72,N,"New York, NY"
11/08/2001,Arizona,71,Maryland,67,N,"New York, NY"
11/09/2001,Temple,74,Maryland,82,N,"New York, NY"
11/09/2001,Arizona,75,Florida,71,N,"New York, NY"
11/12/2001,Detroit,70,Michigan St.,80,,
11/12/2001,Manhattan,58,Syracuse,78,,
11/12/2001,NC Wilmington,78,Wake Forest,79,,
11/12/2001,Central Connecticut,44,Oklahoma,66,,
11/12/2001,Maine,47,Arkansas,64,,
11/12/2001,Fordham,61,DePaul,70,,
11/13/2001,Wofford,61,Memphis,88,,
11/13/2001,Yale,62,Air Force,68,N,"Columbia, MO"
11/13/2001,Boston University,69,New Orleans,63,N,"Iowa City, IA"
11/13/2001,Cal St. Sacramento,52,Old Dominion,69,N,"Memphis, TN"
11/13/2001,Loyola Marymount,60,Samford,72,N,"Tuscaloosa, AL"
11/13/2001,Montana St.,70,Fresno St.,92,,
11/13/2001,MD Eastern Shore,59,Iowa,89,,
11/13/2001,Tennessee Martin,63,Missouri,89,,
11/13/2001,Wyoming,55,Southern California,68,,
11/13/2001,Mississippi Valley St.,67,Alabama,107,,
11/14/2001,VA Commonwealth,73,Northwestern,78,N,"Raleigh, NC"
11/14/2001,East Carolina,79,Rutgers,74,N,"Raleigh, NC"
11/14/2001,MD Eastern Shore,48,New Orleans,46,N,"Iowa City, IA"
11/14/2001,Tennessee Martin,99,Yale,87,N,"Columbia, MO"
11/14/2001,Mississippi Valley St.,65,Loyola Marymount,74,N,"Tuscaloosa, AL"
11/14/2001,Prairie View A&M,51,North Carolina St.,95,,
11/14/2001,Wofford,56,Cal St. Sacramento,46,N,"Memphis, TN"
11/14/2001,DePaul,60,Syracuse,74,,
11/14/2001,Boston University,61,Iowa,90,,
11/14/2001,Oklahoma,55,Michigan St.,67,,
11/14/2001,Air Force,58,Missouri,86,,
11/14/2001,Samford,51,Alabama,83,,
11/14/2001,Old Dominion,66,Memphis,91,,
11/14/2001,Fairleigh Dickinson,57,San Jose St.,65,N,"Raleigh, NC"
11/15/2001,Bowling Green,82,Mississippi,78,N,"Fairbanks, AK"
11/15/2001,VA Commonwealth,71,Rutgers,58,N,"Raleigh, NC"
11/15/2001,Prairie View A&M,77,Fairleigh Dickinson,66,N,"Raleigh, NC"
11/15/2001,Marshall,64,George Washington,69,N,"Lexington, KY"
11/15/2001,San Jose St.,56,North Carolina St.,78,,
11/15/2001,Western Kentucky,64,Kentucky,52,,
11/15/2001,Eastern Washington,68,St. Joseph's (PA),67,N,"Berkeley, CA"
11/15/2001,Long Beach St.,71,Western Michigan,64,N,"Eugene, OR"
11/15/2001,East Carolina,71,Northwestern,68,N,"Raleigh, NC"
11/15/2001,Southern California,58,Fresno St.,65,,
11/15/2001,Washington,82,Alaska Fairbanks,70,,
11/15/2001,Alabama St.,52,Oregon,92,,
11/15/2001,Princeton,58,California,70,,
11/16/2001,Eastern Washington,27,California,56,,
11/16/2001,Columbia,66,Northeastern,54,N,"Poughkeepsie, NY"
11/16/2001,Fairfield,62,Harvard,68,,
11/16/2001,Weber St.,70,Illinois St.,74,,
11/16/2001,Appalachian St.,61,Richmond,62,,
11/16/2001,Cornell,48,Canisius,65,,
11/16/2001,Drexel,67,Marist,75,,
11/16/2001,Northwestern St.,79,TCU,93,,
11/16/2001,Arkansas Monticello,55,Texas El Paso,88,,
11/16/2001,Sam Houston St.,65,Drake,74,N,"Honolulu, HI"
11/16/2001,Western Michigan,48,Oregon,91,,
11/16/2001,Radford,56,Butler,73,N,"Fairbanks, AK"
11/16/2001,Northern Iowa,57,San Diego St.,71,N,"Lubbock, TX"
11/16/2001,St. Mary's (CA),64,Cal Irvine,71,,
11/16/2001,Rutgers,70,Fairleigh Dickinson,66,N,"Raleigh, NC"
11/16/2001,Howard,76,Mercer,68,n,"Atlanta, GA"
11/16/2001,North Carolina A&T,82,Elon,94,,
11/16/2001,Lander,58,Winthrop,60,,
11/16/2001,Princeton,63,St. Joseph's (PA),74,N,"Berkeley, CA"
11/16/2001,Vermont,58,Brown,82,N,"New Britain, CT"
11/16/2001,Morgan St.,55,Pittsburgh,76,,
11/16/2001,Furman,62,Georgia,75,,
11/16/2001,Mary Washington,51,VMI,76,,
11/16/2001,Lehigh,91,St. Francis (NY),100,,
11/16/2001,Oakland,73,Michigan,81,,
11/16/2001,Charleston Southern,48,College of Charleston,76,,
11/16/2001,Dartmouth,46,Binghamton,49,,
11/16/2001,Wake Forest,76,Arkansas,71,,
11/16/2001,Arkansas Little Rock,60,Massachusetts,66,,
11/16/2001,Montana Tech,65,Denver,83,,
11/16/2001,Bucknell,55,Central Connecticut,68,,
11/16/2001,High Point,59,Auburn,63,,
