date,visitor,visitor_score,home,home_score,notes,location
11/16/2001,SW Missouri St.,77,North Texas,79,,
11/16/2001,Gonzaga,58,Illinois,76,,
11/16/2001,Wagner,74,Virginia,105,,
11/16/2001,Siena,54,Providence,79,,
11/16/2001,Hampton,77,North Carolina,69,,
11/16/2001,St. Joseph's (IN),58,Eastern Illinois,98,,
11/16/2001,Purdue,73,Valparaiso,69,,
11/16/2001,Belmont,71,Southern Illinois,82,,
11/16/2001,Cameron,75,Oral Roberts,71,,
11/16/2001,Central Methodist,75,Arkansas St.,107,,
11/16/2001,Davidson,51,Charlotte,65,,
11/16/2001,NC Asheville,57,West Virginia,83,,
11/16/2001,Liberty,61,Vanderbilt,96,,
11/16/2001,Western Montana,72,Idaho,86,,
11/16/2001,Seton Hall,87,San Francisco,79,,
11/16/2001,Evergreen St.,77,Montana,80,,
11/16/2001,Fort Lewis,69,Southern Utah,86,,
11/16/2001,Cal Poly-SLO,57,Northern Arizona,75,,
11/16/2001,St. Francis (IL),55,Utah,74,,
11/16/2001,Loyola New Orleans,47,Tulane,87,,
11/16/2001,New Hampshire,53,Notre Dame,95,,
11/16/2001,Quinnipiac,57,Holy Cross,85,,
11/16/2001,Long Beach St.,74,Alabama St.,55,N,"Eugene, OR"
11/16/2001,Cincinnati,62,Oklahoma St.,69,,
11/16/2001,Savannah St.,54,Southern Methodist,74,,
11/16/2001,Navy,72,Rice,75,,
11/16/2001,Trevecca Nazarene,77,Tennessee St.,88,,
11/16/2001,Morehead St.,82,IUPU Ft. Wayne,73,,
11/16/2001,Western Kentucky,73,George Washington,48,N,"Lexington, KY"
11/16/2001,Sul Ross St.,59,Texas A&M Corpus Chris,93,,
11/16/2001,William & Mary,55,Texas Tech,75,,
11/16/2001,Birmingham Southern,62,SE Missouri St.,51,,
11/16/2001,Louisiana College,56,SE Louisiana,89,,
11/16/2001,East Carolina,47,North Carolina St.,71,,
11/16/2001,Troy St.,60,Kansas St.,64,,
11/16/2001,Cleveland St.,65,IUPUI,82,,
11/16/2001,St. Peter's,59,Florida International,70,,
11/16/2001,Florida Tech,67,Jacksonville,77,,
11/16/2001,Florida A&M,62,Georgia Tech,97,,
11/16/2001,Marymount (VA),47,Georgetown,108,,
11/16/2001,North Georgia,51,Georgia Southern,85,,
11/16/2001,Guilford,61,East Tennessee St.,90,,
11/16/2001,Hartford,57,Delaware St.,69,,
11/16/2001,Puerto Rico Mayaguez,58,Central Florida,92,,
11/16/2001,Tennessee Tech,63,Tennessee,72,,
11/16/2001,Florida St.,47,Florida,68,,
11/16/2001,Maine,56,Texas San Antonio,73,N,"Miami, FL"
11/16/2001,San Jose St.,51,Northwestern,59,N,"Raleigh, NC"
11/16/2001,Marshall,73,Kentucky,90,,
11/16/2001,Prairie View A&M,66,VA Commonwealth,82,N,"Raleigh, NC"
11/16/2001,Wichita St.,47,Delaware,62,N,"Fairbanks, AK"
11/16/2001,Norfolk St.,52,Hawaii,76,,
11/17/2001,Butler,76,Delaware,59,N,"Fairbanks, AK"
11/17/2001,Radford,81,Wichita St.,82,N,"Fairbanks, AK"
11/17/2001,George Mason,86,Niagara,71,,
11/17/2001,US Coast Guard,61,Army,72,,
11/17/2001,Lafayette,80,Albany (NY),72,,
11/17/2001,Florida Atlantic,65,Hofstra,67,,
11/17/2001,American,53,Maryland,83,,
11/17/2001,Stephen F. Austin,61,Arizona St.,92,,
11/17/2001,Loyola Chicago,70,Marquette,80,,
11/17/2001,Tennessee Wesleyan,59,Chattanooga,89,,
11/17/2001,Colgate,99,Long Island,87,,
11/17/2001,Webber College,57,Stetson,87,,
11/17/2001,Northern Colorado,59,Oregon St.,64,,
11/17/2001,Montana Tech,50,Colorado St.,80,,
11/17/2001,Austin Peay,58,Oklahoma St.,81,,
11/17/2001,Louisiana Monroe,53,Samford,62,,
11/17/2001,Mississippi,75,Alaska Fairbanks,58,,
11/17/2001,Wiley,54,Grambling,81,,
11/17/2001,East Texas Baptist,67,Centenary,87,,
11/17/2001,Menlo College,65,Cal St. Sacramento,81,,
11/17/2001,Cal St. Fullerton,58,Pepperdine,75,,
11/17/2001,Campbell,59,LSU,83,,
11/17/2001,Mercer,59,Minnesota,80,,
11/17/2001,Drexel,87,Northeastern,76,,
11/17/2001,Westmont,42,Cal Santa Barbara,51,,
11/17/2001,New Mexico St.,88,Texas Arlington,71,,
11/17/2001,Idaho St.,56,Loyola Marymount,67,,
11/17/2001,UAB,79,Eastern Michigan,66,N,"St. Thomas, VI"
11/17/2001,Vermont,77,Bucknell,60,N,"New Britain, CT"
11/17/2001,Valdosta St.,71,Georgia St.,82,,
11/17/2001,St. Peter's,79,Maine,70,N,"Miami, FL"
11/17/2001,Miami (OH),42,NC Wilmington,50,,
11/17/2001,Rider,45,Monmouth (NJ),50,,
11/17/2001,William & Mary,55,Northern Iowa,76,N,"Lubbock, TX"
11/17/2001,Wright St.,83,St. Francis (PA),67,,
11/17/2001,Coppin St.,51,Towson,53,N,"Baltimore, MD"
11/17/2001,Toccoa Falls,42,Wofford,94,,
11/17/2001,Coastal Carolina,41,Xavier (OH),72,,
11/17/2001,Akron,67,Iona,64,,
11/17/2001,St. Mary's (MD),81,Gardner Webb,130,,
11/17/2001,Columbia,59,Marist,69,,
11/17/2001,Stony Brook,55,St. John's (NY),72,,
11/17/2001,Mount St. Mary's,59,Virginia Tech,82,,
11/17/2001,Hardin-Simmons,48,Baylor,107,,
11/17/2001,Brown,60,Central Connecticut,66,,
11/17/2001,Morris Brown,57,Clemson,70,N,"St. Thomas, VI"
11/17/2001,Texas San Antonio,71,Florida International,65,,
11/17/2001,Bryan,59,Middle Tennessee St.,115,,
11/17/2001,Nicholls St.,59,Mississippi St.,95,,
11/17/2001,West Florida,61,Murray St.,100,,
11/17/2001,Jackson St.,58,Southern Mississippi,83,,
11/17/2001,Arizona,88,Texas,74,,
11/17/2001,Youngstown St.,64,Evansville,87,,
11/17/2001,Louisiana Tech,67,Iowa,75,,
11/17/2001,McNeese St.,69,Louisiana Lafayette,76,,
11/17/2001,Missouri Kansas City,48,Wisconsin Green Bay,47,,
11/17/2001,Tuskegee,59,Alabama A&M,75,,
11/17/2001,Wilmington (OH),56,Eastern Kentucky,91,,
11/17/2001,Stanford,81,New Mexico,66,,
11/17/2001,Arkansas Pine Bluff,81,Colorado,98,,
11/17/2001,Rollins College,56,New Orleans,71,,
11/17/2001,Schreiner,71,SW Texas St.,108,,
11/17/2001,Sul Ross St.,60,Texas Pan American,99,,
11/17/2001,Alabama St.,43,Western Michigan,63,N,"Eugene, OR"
11/17/2001,Utah St.,66,Montana St.,51,,
11/17/2001,San Diego St.,71,Texas Tech,81,,
11/17/2001,Portland St.,60,Boise St.,53,,
11/17/2001,MD Baltimore County,76,Loyola (MD),66,,
11/17/2001,Cal Riverside,67,Portland,75,,
11/17/2001,Brigham Young,70,San Diego,59,,
11/17/2001,Washington,81,Bowling Green,74,N,"Fairbanks, AK"
11/17/2001,Nevada,85,Cal St. Northridge,75,,
11/17/2001,Pacific,85,Santa Clara,83,,
11/17/2001,Wisconsin,69,UNLV,74,,
11/17/2001,Long Beach St.,67,Oregon,97,,
11/17/2001,Concordia-St. Paul,63,Wisconsin Milwaukee,77,,
11/17/2001,Briar Cliff College,57,Arkansas St.,97,,
11/18/2001,Drake,63,Hawaii,74,,
11/18/2001,Yale,87,Penn St.,74,,
11/18/2001,Denver,44,Air Force,52,,
11/18/2001,Miami (FL),93,Eastern Michigan,56,N,"St. Thomas, VI"
11/18/2001,La Salle,63,Morris Brown,49,N,"St. Thomas, VI"
11/18/2001,East Tennessee St.,62,Virginia,85,,
11/18/2001,Binghamton,56,Syracuse,103,,
11/18/2001,Navy,64,Southern Methodist,81,,
11/18/2001,Mississippi,80,Wichita St.,68,N,"Fairbanks, AK"
11/18/2001,Boston University,65,Boston College,82,,
11/18/2001,Montana,63,Gonzaga,83,,
11/18/2001,Northwestern St.,69,Memphis,97,,
11/18/2001,North Carolina A&T,51,Creighton,72,,
11/18/2001,Chicago St.,49,Marquette,102,,
11/18/2001,Northern Arizona,47,Pittsburgh,58,,
11/18/2001,Indiana,65,Charlotte,61,,
11/18/2001,South Alabama,38,Louisville,92,,
11/18/2001,Indiana St.,54,Illinois Chicago,70,,
11/18/2001,Cardinal Stritch,52,Western Illinois,106,,
11/18/2001,Winthrop,54,Ohio St.,78,,
11/18/2001,Butler,67,Washington,64,N,"Fairbanks, AK"
11/18/2001,Norfolk St.,71,Sam Houston St.,90,N,"Honolulu, HI"
11/18/2001,Radford,89,Alaska Fairbanks,50,,
11/18/2001,Delaware,70,Bowling Green,73,N,"Fairbanks, AK"
11/18/2001,Tri-State University,53,Central Michigan,75,,
11/18/2001,Elon,67,Wake Forest,87,,
11/18/2001,Jacksonville St.,53,Auburn,75,,
11/18/2001,Oral Roberts,57,Arkansas,71,,
11/18/2001,MD Eastern Shore,52,Duquesne,76,,
11/18/2001,Toledo,50,Dayton,69,,
11/19/2001,Hartford,54,Iowa St.,83,,
11/19/2001,East Carolina,87,Appalachian St.,93,,
11/19/2001,Georgetown,59,Georgia,73,N,"Springfield, MA"
11/19/2001,Pennsylvania,79,Georgia Tech,74,,
11/19/2001,Coppin St.,76,Loyola (MD),68,,
11/19/2001,Tennessee Wesleyan,58,Western Carolina,66,,
11/19/2001,Flagler,62,The Citadel,69,,
11/19/2001,Vanderbilt,71,Connecticut,84,,
11/19/2001,Cornell,48,Notre Dame,78,,
11/19/2001,Fordham,84,South Florida,104,,
11/19/2001,Anderson (SC),55,Charleston Southern,62,,
11/19/2001,Gardner Webb,77,Georgia Southern,88,,
11/19/2001,Central Florida,72,Hampton,73,,
11/19/2001,New Orleans,58,Jacksonville,73,,
11/19/2001,Shenandoah,71,Liberty,88,,
11/19/2001,Shawnee St.,78,Morehead St.,103,,
11/19/2001,Stony Brook,71,Sacred Heart,76,,
11/19/2001,George Washington,63,Texas A&M,87,,
11/19/2001,Miami (FL),81,UAB,79,N,"St. Thomas, VI"
11/19/2001,Valparaiso,72,Belmont,74,,
11/19/2001,Eastern Illinois,53,Illinois,93,,
11/19/2001,Clemson,81,La Salle,69,N,"St. Thomas, VI"
11/19/2001,Southern,69,LSU,97,,
11/19/2001,Loyola New Orleans,46,McNeese St.,88,,
11/19/2001,Florida A&M,55,Mississippi St.,92,,
11/19/2001,Col. Colorado Springs,44,Murray St.,109,,
11/19/2001,Providence,65,Oklahoma St.,83,N,"Las Vegas, NV"
11/19/2001,Southern Illinois,69,St. Louis,64,,
11/19/2001,Lipscomb,79,Tennessee Martin,86,,
11/19/2001,Towson,54,MD Baltimore County,73,N,"Baltimore, MD"
11/19/2001,Stetson,58,College of Charleston,74,,
11/19/2001,Buffalo,62,Niagara,63,,
11/19/2001,George Mason,65,Miami (OH),70,,
11/19/2001,Arkansas Monticello,57,TCU,100,N,"Las Vegas, NV"
11/19/2001,Louisiana Lafayette,41,Bradley,63,,
11/19/2001,Grambling,61,Tulsa,104,,
11/19/2001,SW Texas St.,67,Texas Pan American,73,,
11/19/2001,Seton Hall,79,Duke,80,N,"Lahaina, HI"
11/19/2001,Regis University,56,Colorado,77,,
11/19/2001,NC Greensboro,75,NC Asheville,49,,
11/19/2001,Arkansas Pine Bluff,74,Wyoming,94,,
11/19/2001,Texas Southern,51,New Mexico,97,,
11/19/2001,Alcorn St.,72,New Mexico St.,82,,
11/19/2001,Concordia (OR),77,Weber St.,103,,
11/19/2001,San Francisco,70,Cal St. Fullerton,43,,
11/19/2001,Northwest College,71,Eastern Washington,103,,
11/19/2001,Northwestern St.,60,Texas El Paso,66,N,"Las Vegas, NV"
11/19/2001,Houston,60,UCLA,71,N,"Lahaina, HI"
11/19/2001,South Carolina,74,Chaminade,61,,
11/19/2001,Austin Peay,44,Siena,62,N,"Las Vegas, NV"
11/19/2001,Ball St.,93,Kansas,91,N,"Lahaina, HI"
11/19/2001,Mercyhurst,68,Kent St.,90,,
11/19/2001,Arkansas Tech,46,Arkansas Little Rock,83,,
11/20/2001,Arkansas Monticello,86,Northwestern St.,107,N,"Las Vegas, NV"
11/20/2001,Austin Peay,84,Providence,93,N,"Las Vegas, NV"
11/20/2001,St. Bonaventure,79,Cleveland St.,64,,
11/20/2001,Haverford,37,Columbia,52,,
11/20/2001,Savannah St.,41,Florida St.,93,,
11/20/2001,Harvard,57,Holy Cross,65,,
11/20/2001,East Tennessee St.,71,VA Commonwealth,79,,
11/20/2001,Delaware St.,60,Maine,52,,
11/20/2001,St. Mary's (MI),73,Oakland,94,,
11/20/2001,Iowa,75,Memphis,71,N,"Kansas City, MO"
11/20/2001,James Madison,58,North Carolina St.,75,,
11/20/2001,Montana,67,Northern Iowa,87,,
11/20/2001,Wright St.,54,Cincinnati,83,,
11/20/2001,Siena,64,Oklahoma St.,82,N,"Las Vegas, NV"
11/20/2001,Albany (NY),62,Ohio St.,87,,
11/20/2001,Evansville,64,Western Kentucky,90,,
11/20/2001,Quinnipiac,66,Army,74,,
11/20/2001,William & Mary,57,High Point,63,,
11/20/2001,Lynchburg,51,Elon,93,,
11/20/2001,Rhode Island,63,Virginia Tech,86,,
11/20/2001,Davidson,58,North Carolina,54,,
11/20/2001,Asbury,41,Furman,82,,
11/20/2001,Pepperdine,93,Cal Irvine,96,,
11/20/2001,Portland St.,79,Arizona St.,69,,
11/20/2001,Morris Brown,55,Eastern Michigan,67,N,"St. Thomas, VI"
11/20/2001,Texas Tech,78,Southern Methodist,75,,
11/20/2001,Western Illinois,71,Eastern Kentucky,62,,
11/20/2001,Brown,90,Northeastern,88,,
11/20/2001,North Carolina A&T,57,Nebraska,69,,
11/20/2001,Centenary,76,Tulane,92,,
11/20/2001,South Carolina St.,65,Tennessee Tech,79,,
11/20/2001,Huston Tillotson,77,Prairie View A&M,76,,
11/20/2001,Robert Morris,62,Pittsburgh,86,,
11/20/2001,Nicholls St.,54,UNLV,97,,
11/20/2001,Texas El Paso,73,TCU,95,N,"Las Vegas, NV"
11/20/2001,Southern Utah,63,Stanford,81,,
11/20/2001,Santa Clara,60,California,67,,
11/20/2001,Cal San Diego,62,San Diego,89,,
11/20/2001,Cal St. Monterey Bay,65,Pacific,86,,
11/20/2001,Alabama,68,Missouri,75,N,"Kansas City, MO"
11/20/2001,Colorado St.,79,Washington St.,75,,
11/20/2001,Ball St.,91,UCLA,73,N,"Lahaina, HI"
11/20/2001,Harding,86,Louisiana Tech,102,,
11/20/2001,Boise St.,49,Utah,64,,
11/20/2001,Lamar,62,Rice,91,,
11/20/2001,Iona,74,Bethune Cookman,81,,
11/20/2001,Wisconsin Green Bay,55,Kansas St.,68,,
11/20/2001,Clemson,65,Miami (FL),67,N,"St. Thomas, VI"
11/20/2001,Bucknell,62,Rider,75,,
11/20/2001,Wagner,80,Lehigh,73,,
11/20/2001,Florida Tech,68,Florida International,85,,
11/20/2001,Slippery Rock,67,Youngstown St.,99,,
11/20/2001,American,55,St. Francis (PA),52,,
11/20/2001,St. Mary's (MD),73,Florida Atlantic,107,,
11/20/2001,Vermont,73,Dartmouth,54,,
11/20/2001,South Carolina,56,Duke,81,N,"Lahaina, HI"
11/20/2001,Fairfield,59,Michigan,88,,
11/20/2001,Houston,78,Kansas,95,N,"Lahaina, HI"
11/20/2001,La Salle,63,UAB,58,N,"St. Thomas, VI"
11/20/2001,Seton Hall,74,Chaminade,62,,
11/20/2001,UNC Pembroke,77,Campbell,93,,
11/20/2001,Dominican,47,Cal St. Northridge,101,,
11/20/2001,Tougaloo,62,Louisiana Monroe,100,,
11/21/2001,Texas El Paso,60,Providence,69,N,"Las Vegas, NV"
11/21/2001,Northwestern St.,99,Siena,91,N,"Las Vegas, NV"
11/21/2001,Northern Arizona,78,Colgate,77,,
11/21/2001,Idaho St.,96,Portland,90,,
11/21/2001,Marquette,85,Tennessee,74,N,"Anchorage, AK"
11/21/2001,Houston,76,Chaminade,73,,
11/21/2001,New Hampshire,77,Boston College,80,,
11/21/2001,Coastal Carolina,51,Georgetown,76,,
11/21/2001,St. Peter's,83,St. Francis (NY),90,,
11/21/2001,Central Michigan,65,Dayton,81,,
11/21/2001,Asbury,60,Gardner Webb,85,,
11/21/2001,South Alabama,70,Marist,80,,
11/21/2001,Buffalo,100,Chicago St.,92,,
11/21/2001,Jacksonville St.,63,Birmingham Southern,52,,
11/21/2001,Texas Arlington,64,Baylor,88,,
11/21/2001,Wisconsin Milwaukee,80,Western Michigan,81,,
11/21/2001,Arkansas Little Rock,81,Mississippi St.,93,,
11/21/2001,Howard,66,Virginia,115,,
11/21/2001,Grambling,68,Villanova,82,,
11/21/2001,Lafayette,66,Penn St.,75,,
11/21/2001,Norfolk St.,71,San Diego St.,78,,
11/21/2001,TCU,77,Oklahoma St.,95,N,"Las Vegas, NV"
11/21/2001,Cal St. Sacramento,60,San Jose St.,62,,
11/21/2001,Nevada,66,St. Mary's (CA),61,,
11/21/2001,Missouri,78,Iowa,77,N,"Kansas City, MO"
11/21/2001,Wake Forest,62,Fresno St.,61,N,"New York, NY"
11/21/2001,Ball St.,71,Duke,83,N,"Lahaina, HI"
11/21/2001,Texas College,79,Texas Pan American,97,,
11/21/2001,Indiana,101,Alaska Anchorage,66,,
11/21/2001,Lipscomb,70,Morris Brown,71,,
11/21/2001,Stephen F. Austin,59,Jackson St.,68,,
11/21/2001,Valparaiso,71,Indiana St.,54,,
11/21/2001,Arkansas Pine Bluff,66,Arkansas St.,109,,
11/21/2001,Radford,84,Purdue,91,,
11/21/2001,NC Asheville,65,Minnesota,92,,
11/21/2001,IUPUI,72,Middle Tennessee St.,76,,
11/21/2001,St. Joseph's (IN),53,Illinois Chicago,96,,
11/21/2001,Alabama,81,Memphis,70,N,"Kansas City, MO"
11/21/2001,IUPU Ft. Wayne,60,Toledo,69,,
11/21/2001,Syracuse,69,Michigan St.,58,N,"New York, NY"
11/21/2001,Georgia,94,Georgia Southern,73,N,"Savannah, GA"
11/21/2001,South Carolina,77,UCLA,89,N,"Lahaina, HI"
11/21/2001,Arkansas Monticello,40,Austin Peay,74,N,"Las Vegas, NV"
11/21/2001,Seton Hall,62,Kansas,80,N,"Lahaina, HI"
11/22/2001,St. John's (NY),58,Gonzaga,65,N,"Anchorage, AK"
11/22/2001,Eastern Illinois,65,Georgia Tech,70,N,"Las Vegas, NV"
11/22/2001,Rice,80,Colorado,108,,
11/22/2001,Southern Illinois,66,Iowa St.,57,N,"Las Vegas, NV"
11/22/2001,Hartford,52,St. Louis,85,N,"Las Vegas, NV"
11/22/2001,Oregon St.,68,Texas,78,N,"Anchorage, AK"
11/22/2001,Pennsylvania,71,Illinois,78,N,"Las Vegas, NV"
11/23/2001,Chattanooga,82,Liberty,57,N,"Honolulu, HI"
11/23/2001,Southern Mississippi,59,West Virginia,66,N,"Albuquerque, NM"
11/23/2001,LSU,74,Weber St.,75,N,"Hilo, HI"
11/23/2001,Concordia (CA),48,Montana,72,,
11/23/2001,Oakland,53,Pittsburgh,70,n,"Moon Township, PA"
11/23/2001,Illinois St.,58,Cal Irvine,52,N,"Moon Township, PA"
11/23/2001,Hartford,46,Southern Illinois,78,N,"Las Vegas, NV"
11/23/2001,Tennessee,74,Alaska Anchorage,54,,
11/23/2001,Vanderbilt,100,Hampton,85,N,"Honolulu, HI"
11/23/2001,Colorado St.,66,South Carolina St.,48,N,"Hilo, HI"
11/23/2001,Kent St.,64,Hofstra,67,N,"Moon Township, PA"
11/23/2001,St. Louis,72,Iowa St.,77,N,"Las Vegas, NV"
11/23/2001,Oregon St.,63,St. John's (NY),66,N,"Anchorage, AK"
11/23/2001,Stony Brook,62,Yale,82,N,"Washington, DC"
11/23/2001,The Citadel,53,North Carolina St.,63,,
11/23/2001,Michigan,73,Western Michigan,79,,
11/23/2001,Monmouth (NJ),64,Akron,61,N,"Honolulu, HI"
11/23/2001,Oglethorpe,45,Davidson,114,,
11/23/2001,Elon,59,Florida St.,89,,
11/23/2001,Indiana,49,Marquette,50,N,"Anchorage, AK"
11/23/2001,Wisconsin,78,Hawaii Hilo,62,,
11/23/2001,Notre Dame,98,Hawaii Pacific,58,,
11/23/2001,Georgia Tech,66,Illinois,105,N,"Las Vegas, NV"
11/23/2001,Mercer,72,Hawaii,89,n,"Hilo, HI"
11/23/2001,Wake Forest,67,Syracuse,74,N,"New York, NY"
11/23/2001,Texas,64,Gonzaga,67,N,"Anchorage, AK"
11/23/2001,Utah St.,78,Utah,65,,
11/23/2001,Drake,73,Oral Roberts,68,,
11/23/2001,Pacific,66,New Mexico,85,,
11/23/2001,Pennsylvania,77,Eastern Illinois,60,N,"Las Vegas, NV"
11/23/2001,Binghamton,52,George Washington,69,,
11/23/2001,Holy Cross,62,Manhattan,75,,
11/23/2001,Fresno St.,63,Michigan St.,58,N,"New York, NY"
11/23/2001,Troy St.,77,Marshall,72,,
11/23/2001,South Florida,82,Robert Morris,55,,
11/24/2001,Vanderbilt,67,Monmouth (NJ),81,N,"Honolulu, HI"
11/24/2001,Columbia,54,Providence,68,,
11/24/2001,Southern Utah,71,Idaho St.,73,,
11/24/2001,Yale,102,George Washington,116,,
11/24/2001,NC Asheville,72,Campbell,77,,
11/24/2001,La Salle,78,Delaware,84,,
11/24/2001,Sam Houston St.,69,Texas Tech,65,,
11/24/2001,Idaho,59,Boise St.,68,,
11/24/2001,Richmond,60,UAB,59,,
11/24/2001,Liberty,46,Hawaii Pacific,81,,
11/24/2001,Cal Santa Barbara,69,San Francisco,49,,
11/24/2001,St. Mary's (CA),50,Cal Poly-SLO,70,,
11/24/2001,Colorado St.,61,Hawaii,59,n,"Hilo, HI"
11/24/2001,Loyola Marymount,70,Cal St. Fullerton,84,,
11/24/2001,San Diego,74,Portland St.,59,,
11/24/2001,West Virginia,88,New Mexico,85,,
11/24/2001,Louisville,63,Oregon,90,n,"Portland, OR"
11/24/2001,Southern Illinois,72,Illinois,75,N,"Las Vegas, NV"
11/24/2001,Chattanooga,84,Notre Dame,97,N,"Honolulu, HI"
11/24/2001,Dartmouth,72,New Hampshire,70,,
11/24/2001,San Diego St.,79,New Mexico St.,94,,
11/24/2001,Hartford,57,Eastern Illinois,73,N,"Las Vegas, NV"
11/24/2001,Oakland,61,Cal Irvine,68,N,"Moon Township, PA"
11/24/2001,Northern Arizona,70,Northeastern,67,,
11/24/2001,Cleveland St.,72,Vermont,69,,
11/24/2001,Princeton,44,Florida International,49,,
11/24/2001,Fairleigh Dickinson,48,American,55,,
11/24/2001,SUNY Maritime,44,Army,87,,
11/24/2001,Defiance,80,Bowling Green,107,,
11/24/2001,South Carolina St.,61,Mercer,72,N,"Hilo, HI"
11/24/2001,Hampton,67,Akron,59,N,"Honolulu, HI"
11/24/2001,Sacred Heart,55,Baylor,81,,
11/24/2001,Charlotte,100,Long Beach St.,81,,
11/24/2001,Prairie View A&M,55,Washington St.,103,,
11/24/2001,William & Mary,71,Charleston Southern,60,,
11/24/2001,Santa Clara,49,Washington,69,,
11/24/2001,Niagara,75,St. Bonaventure,90,,
11/24/2001,Alabama A&M,75,Detroit,98,,
