date,visitor,visitor_score,home,home_score,notes,location
11/14/2002,Alabama,68,Oklahoma,62,N,"New York, NY"
11/14/2002,Memphis,70,Syracuse,63,N,"New York, NY"
11/15/2002,Eastern Washington,55,Wisconsin,81,,
11/15/2002,Northern Illinois,56,Winthrop,50,N,"Madison, WI"
11/15/2002,Texas,77,Georgia,71,N,"New York, NY"
11/15/2002,Villanova,61,Marquette,73,N,"New York, NY"
11/16/2002,Cleveland St.,66,Florida Atlantic,71,N,"Ft. Collins, CO"
11/16/2002,IUPU Ft. Wayne,62,Colorado St.,80,,
11/16/2002,Northern Illinois,56,Wisconsin,84,,
11/16/2002,Eastern Washington,75,Winthrop,61,N,"Madison, WI"
11/17/2002,IUPUI,66,Brown,65,N,"South Bend, IN"
11/17/2002,Belmont,48,Notre Dame,76,,
11/17/2002,Alabama St.,73,Furman,74,N,"Omaha, NE"
11/17/2002,Texas Arlington,50,Creighton,106,,
11/18/2002,Brown,77,Belmont,83,1N,"South Bend, IN"
11/18/2002,Alabama St.,47,Texas Arlington,59,N,"Omaha, NE"
11/18/2002,St. Peter's,48,Xavier,87,,
11/18/2002,Penn St.,55,North Carolina,85,,
11/18/2002,Columbia,36,Rutgers,60,,
11/18/2002,Cleveland St.,78,IUPU Ft. Wayne,71,N,"Ft. Collins, CO"
11/18/2002,IUPUI,45,Notre Dame,89,,
11/18/2002,Furman,57,Creighton,82,,
11/18/2002,Boston University,57,Stanford,61,,
11/18/2002,Eastern Illinois,73,Boise St.,59,,
11/18/2002,Florida Atlantic,56,Colorado St.,81,,
11/19/2002,Louisiana Tech,55,Florida,76,,
11/19/2002,Wagner,65,NC Greensboro,84,,
11/19/2002,Florida Atlantic,93,IUPU Ft. Wayne,86,2N,"Ft. Collins, CO"
11/19/2002,Holy Cross,57,Kansas,81,,
11/19/2002,Cleveland St.,63,Colorado St.,77,,
11/20/2002,Rutgers,67,North Carolina,71,,
11/20/2002,Xavier,62,Stanford,63,,
11/21/2002,Eastern Illinois,65,Florida,99,,
11/21/2002,Wisconsin Green Bay,55,Alaska Fairbanks,78,,
11/21/2002,Centenary,45,Nebraska,68,N,"Fairbanks, AK"
11/22/2002,Vermont,71,Eastern Michigan,64,N,"Poughkeepsie, NY"
11/22/2002,Virginia Tech,78,St. Bonaventure,91,N,"St. Thomas, VI"
11/22/2002,Western Michigan,59,Princeton,62,N,"Norman, OK"
11/22/2002,Northern Arizona,65,High Point,70,N,"New Britain, CT"
11/22/2002,Idaho St.,71,Texas San Antonio,76,1N,"Milwaukee, WI"
11/22/2002,South Alabama,82,Southern,61,,
11/22/2002,NC Greensboro,66,Kansas,105,,
11/22/2002,NC Asheville,52,Michigan St.,66,,
11/22/2002,Delaware,56,La Salle,73,,
11/22/2002,Delaware St.,46,West Virginia,59,,
11/22/2002,Fordham,79,William & Mary,76,,
11/22/2002,Marshall,92,Niagara,90,,
11/22/2002,Howard,68,St. Francis PA,70,,
11/22/2002,James Madison,68,Furman,66,,
11/22/2002,Coastal Carolina,77,Western Carolina,72,,
11/22/2002,Nova Southeast,60,South Florida,99,,
11/22/2002,Mars Hill,72,Appalachian St.,104,,
11/22/2002,St. Leo,55,Jacksonville,85,,
11/22/2002,Youngstown St.,56,Indiana St.,63,,
11/22/2002,Butler,69,IUPU Ft. Wayne,53,,
11/22/2002,Webber College,60,The Citadel,83,,
11/22/2002,Mount St. Mary's,60,North Carolina St.,84,,
11/22/2002,Long Island,86,Virginia,90,,
11/22/2002,Grambling,46,Georgetown,99,,
11/22/2002,Drexel,41,Villanova,64,,
11/22/2002,Radford,46,Richmond,92,,
11/22/2002,Long Beach St.,61,Charlotte,89,,
11/22/2002,Colgate,65,Marist,72,,
11/22/2002,George Mason,58,Central Michigan,61,,
11/22/2002,Morehead St.,56,Arizona St.,59,,
11/22/2002,Dartmouth,62,Lehigh,68,,
11/22/2002,Central Florida,56,Navy,68,,
11/22/2002,Gardner Webb,69,Tennessee,71,N,"St. Thomas, VI"
11/22/2002,Toledo,56,Brigham Young,71,N,"St. Thomas, VI"
11/22/2002,College of Charleston,84,Charleston Southern,70,N,"Charleston, SC"
11/22/2002,Guilford,37,East Tennessee St.,104,,
11/22/2002,Trevecca Nazarene,94,Tennessee St.,107,,
11/22/2002,American,57,Missouri,72,,
11/22/2002,Alabama St.,56,Alabama,82,,
11/22/2002,Cal Irvine,65,Oklahoma,87,,
11/22/2002,Illinois Chicago,68,Evansville,73,,
11/22/2002,Yale,59,Oklahoma St.,68,,
11/22/2002,Alcorn St.,70,Southern Mississippi,78,,
11/22/2002,Albany,75,Siena,79,,
11/22/2002,Robert Morris,83,Missouri Kansas City,77,,
11/22/2002,St. Peter's,67,Central Connecticut,77,,
11/22/2002,East Carolina,65,Middle Tennessee St.,63,,
11/22/2002,Wofford,63,Auburn,81,,
11/22/2002,SE Louisiana,58,Vanderbilt,80,,
11/22/2002,Tennessee Martin,63,St. Louis,58,,
11/22/2002,Birmingham Southern,53,UAB,71,,
11/22/2002,West Florida,66,Murray St.,87,,
11/22/2002,Texas Wesleyan,54,McNeese St.,85,,
11/22/2002,Pepperdine,81,Bradley,95,1,
11/22/2002,Florida Atlantic,62,Drake,74,,
11/22/2002,North Texas,81,Southwest Missouri St.,78,,
11/22/2002,Southeast Missouri St.,71,Arkansas St.,83,,
11/22/2002,Cornell,78,Buffalo,72,,
11/22/2002,Rhode Island,95,Northeastern,82,n,"Boston, MA"
11/22/2002,Chattanooga,68,Samford,66,,
11/22/2002,Tuskegee,79,Alabama A&M,96,,
11/22/2002,Jackson St.,44,Arkansas,81,,
11/22/2002,Tulane,58,Rice,72,,
11/22/2002,Coppin St.,46,Marquette,64,,
11/22/2002,Bucknell,42,Notre Dame,73,,
11/22/2002,Miami OH,46,Purdue,73,,
11/22/2002,Austin Peay,81,Memphis,80,1,
11/22/2002,Harvard,69,Fairfield,67,,
11/22/2002,Nicholls St.,24,Louisiana St.,68,,
11/22/2002,Southern Utah,47,Utah,61,,
11/22/2002,MD Eastern Shore,36,Northwestern,56,,
11/22/2002,New Mexico St.,62,Texas Pan American,59,N,"South Padre Island, TX"
11/22/2002,Sam Houston St.,81,Texas Christian,91,,
11/22/2002,NC Wilmington,76,Texas Tech,85,,
11/22/2002,Northern Iowa,77,Montana,71,,
11/22/2002,Hofstra,61,Gonzaga,69,,
11/22/2002,Cal Poly,69,Colorado,97,,
11/22/2002,Texas A&M Corpus Chris,83,Cal St. Fullerton,76,N,"Honolulu, HI"
11/22/2002,Pacific Oregon,42,Portland,70,,
11/22/2002,Cal St. Northridge,65,Portland St.,69,,
11/22/2002,Loyola Chicago,79,Loyola Marymount,85,,
11/22/2002,Santa Clara,78,Pacific,72,,
11/22/2002,Cal Riverside,67,Southern California,81,,
11/22/2002,Weber St.,91,Cal Santa Barbara,82,N,"Fairbanks, AK"
11/22/2002,Arkansas Little Rock,65,Hawaii,81,,
11/22/2002,Jacksonville St.,64,Ball St.,72,N,"Fairbanks, AK"
11/23/2002,Akron,75,Wright St.,78,,
11/23/2002,Belmont,71,Georgia,87,,
11/23/2002,San Francisco,51,Seton Hall,77,,
11/23/2002,Knoxville,74,Troy St.,116,,
11/23/2002,Lafayette,68,Binghamton,77,,
11/23/2002,Cal Irvine,62,Western Michigan,73,N,"Norman, OK"
11/23/2002,San Jose St.,68,Washington St.,76,,
11/23/2002,Liberty,54,Virginia Military Inst,68,,
11/23/2002,Arkansas Pine Bluff,75,Georgia Tech,113,,
11/23/2002,Sacred Heart,64,Stony Brook,75,1,
11/23/2002,Francis Marion,64,Campbell,65,,
11/23/2002,Princeton,63,Oklahoma,82,,
11/23/2002,Bethune Cookman,64,Canisius,77,,
11/23/2002,Monmouth,61,Rider,66,,
11/23/2002,Dowling,61,Holy Cross,101,,
11/23/2002,Western Kentucky,68,Arizona,107,,
11/23/2002,Wisconsin Green Bay,68,Centenary,48,N,"Fairbanks, AK"
11/23/2002,Bowling Green,61,Detroit,75,,
11/23/2002,Tulsa,71,New Mexico St.,61,N,"South Padre Island, TX"
11/23/2002,Lipscomb,86,Iona,89,N,"Miami, FL"
11/23/2002,Colgate,65,Eastern Michigan,66,N,"Poughkeepsie, NY"
11/23/2002,Brigham Young,73,Kansas St.,64,N,"St. Thomas, VI"
11/23/2002,Spring Arbor,72,Oakland,107,,
11/23/2002,Western Illinois,75,Norfolk St.,74,1,
11/23/2002,Nevada,75,San Diego,77,,
11/23/2002,Denver,65,Wyoming,85,,
11/23/2002,Cal Santa Barbara,66,Jacksonville St.,73,N,"Fairbanks, AK"
11/23/2002,St. Peter's,93,Northern Arizona,99,1N,"New Britain, CT"
11/23/2002,Coppin St.,55,Idaho St.,63,N,"Milwaukee, WI"
11/23/2002,DePaul,63,Northern Illinois,48,,
11/23/2002,Toccoa Falls,58,Western Carolina,119,,
11/23/2002,Louisiana Lafayette,79,Mississippi St.,76,,
11/23/2002,Quinnipiac,72,Connecticut,91,,
11/23/2002,Army,53,Duke,101,,
11/23/2002,Columbia,37,Boston University,66,,
11/23/2002,Mercer,79,Elon,67,,
11/23/2002,Morris Brown,52,Florida International,60,,
11/23/2002,Towson,81,MD Baltimore County,86,N,"Baltimore, MD"
11/23/2002,St. Joseph's (IN),58,IUPUI,79,,
11/23/2002,Duquesne,67,Pittsburgh,82,,
11/23/2002,Penn St.,37,Pennsylvania,62,,
11/23/2002,Saint Joseph's,85,Boston College,58,,
11/23/2002,New Hampshire,58,Miami FL,93,,
11/23/2002,Brown,64,Providence,83,,
11/23/2002,Air Force,47,Louisville,65,,
11/23/2002,St. Bonaventure,89,Michigan,68,N,"St. Thomas, VI"
11/23/2002,Vermont,66,Marist,63,,
11/23/2002,Stephen F. Austin,55,Texas,81,,
11/23/2002,Alcorn St.,61,Baylor,81,n,"Dallas, TX"
11/23/2002,Wisconsin Milwaukee,72,Wisconsin,83,,
11/23/2002,High Point,74,Central Connecticut,63,,
11/23/2002,St. Leo,57,New Orleans,107,,
11/23/2002,Tennessee Tech,48,Cincinnati,54,,
11/23/2002,Idaho,76,Oregon St.,73,1,
11/23/2002,Utah St.,68,Illinois St.,53,,
11/23/2002,Texas Arlington,74,Wichita St.,76,,
11/23/2002,New Mexico Highlands,66,Texas El Paso,75,,
11/23/2002,North Carolina A&T,44,Georgia St.,76,,
11/23/2002,Prairie View A&M,78,Houston,75,,
11/23/2002,Texas San Antonio,68,Marquette,80,,
11/23/2002,Loyola MD,83,Morgan St.,80,,
11/23/2002,California,76,New Mexico,68,,
11/23/2002,Eastern Washington,75,San Diego St.,70,,
11/23/2002,Nebraska,61,Alaska Fairbanks,64,,
11/23/2002,Ball St.,67,Weber St.,72,N,"Fairbanks, AK"
11/23/2002,John Jay,60,Georgia Southern,83,N,"Orono, ME"
11/23/2002,Maine Fort Kent,61,Maine,118,,
11/23/2002,Oklahoma Wesleyan,66,Oral Roberts,112,,
11/23/2002,Kentucky Christian,71,Eastern Kentucky,106,,
11/24/2002,Texas Pan American,50,Tulsa,80,N,"South Padre Island, TX"
11/24/2002,Savannah St.,46,Florida St.,79,,
11/24/2002,Delaware St.,38,Dayton,65,,
11/24/2002,Valparaiso,66,Syracuse,81,,
11/24/2002,North Carolina,67,Old Dominion,59,,
11/24/2002,Urbana,39,Kent St.,93,,
11/24/2002,Florida A&M,64,Xavier,93,,
11/24/2002,NC Asheville,81,Minnesota,87,,
11/24/2002,Mississippi,58,East Carolina,65,,
11/24/2002,Radford,64,William & Mary,63,,
11/24/2002,Lipscomb,65,Morris Brown,67,N,"Miami, FL"
11/24/2002,George Mason,74,Southern Illinois,83,,
11/24/2002,Webber College,48,College of Charleston,108,,
11/24/2002,East Tennessee St.,66,South Carolina,71,,
11/24/2002,Nicholls St.,36,Southern,52,,
11/24/2002,Centenary,69,Cal Santa Barbara,84,N,"Fairbanks, AK"
11/24/2002,Millsaps,49,Louisiana Tech,77,,
11/24/2002,Coastal Carolina,45,Florida,88,,
11/24/2002,Rutgers,59,Temple,53,,
11/24/2002,Wofford,72,Clemson,79,,
11/24/2002,Chattanooga,81,UAB,92,,
11/24/2002,Iona,55,Florida International,65,,
11/24/2002,Georgia Southern,91,Maine,77,,
11/24/2002,Miami OH,49,Maryland,64,,
11/24/2002,Chicago St.,53,Buffalo,84,,
11/24/2002,Eastern Illinois,78,Illinois Chicago,91,,
11/24/2002,Montana St.,56,Washington,53,,
11/24/2002,Lamar,69,Pacific,73,1,
11/24/2002,Ball St.,73,Nebraska,65,N,"Fairbanks, AK"
11/24/2002,Toledo,58,Kansas St.,50,N,"St. Thomas, VI"
11/24/2002,South Alabama,62,Louisiana St.,71,,
11/24/2002,Jacksonville,55,Cal St. Northridge,67,N,"Eugene, OR"
11/24/2002,Texas Christian,84,Southern Methodist,87,1,
11/24/2002,Michigan,53,Virginia Tech,65,N,"St. Thomas, VI"
11/24/2002,Lehigh,56,Illinois,90,,
11/24/2002,Texas Southern,55,Texas A&M,70,,
11/24/2002,Alabama A&M,40,Vanderbilt,68,,
11/24/2002,Florida Atlantic,52,Iowa,79,,
11/24/2002,Grambling,52,Oregon,97,,
11/24/2002,Rice,62,Stanford,79,,
11/24/2002,Stetson,74,Colorado,107,,
11/24/2002,Wisconsin Green Bay,66,Jacksonville St.,75,N,"Fairbanks, AK"
11/24/2002,Holy Names,33,St. Mary's,78,,
11/24/2002,Cal St. Fullerton,43,Arkansas Little Rock,56,N,"Honolulu, HI"
11/24/2002,Portland St.,54,Nevada Las Vegas,69,,
11/24/2002,Weber St.,65,Alaska Fairbanks,77,,
11/24/2002,Texas A&M Corpus Chris,81,Hawaii,100,,
11/25/2002,Wayne St. (NE),40,Northern Iowa,71,,
11/25/2002,Gonzaga,71,Utah,52,N,"Lahaina, HI"
11/25/2002,Virginia,86,Chaminade,72,,
11/25/2002,Kansas St.,82,Michigan,71,N,"St. Thomas, VI"
11/25/2002,Massachusetts,71,Indiana,84,N,"Lahaina, HI"
11/25/2002,Toledo,45,Virginia Tech,58,N,"St. Thomas, VI"
11/25/2002,George Washington,55,Connecticut,67,,
11/25/2002,Davidson,80,Duke,95,,
11/25/2002,Western Michigan,70,Fordham,51,,
11/25/2002,Drexel,71,Pennsylvania,62,,
11/25/2002,Western Illinois,59,Hampton,82,,
11/25/2002,Army,54,Fairleigh Dickinson,76,,
11/25/2002,American,79,NC Greensboro,80,1,
11/25/2002,Manhattan,77,Sacred Heart,62,,
11/25/2002,Charlotte,100,Appalachian St.,103,3,
11/25/2002,Creighton,99,IUPUI,52,N,"Kansas City, MO"
11/25/2002,West Virginia,82,Duquesne,86,,
11/25/2002,James Madison,60,Georgetown,80,,
11/25/2002,The Citadel,51,Navy,57,,
11/25/2002,Virginia Military Inst,56,Tennessee,88,,
11/25/2002,Niagara,69,Central Florida,94,,
11/25/2002,Brigham Young,66,St. Bonaventure,57,N,"St. Thomas, VI"
11/25/2002,Kentucky St.,78,Marshall,112,,
11/25/2002,St. Mary's (MD),74,Gardner Webb,82,,
11/25/2002,Missouri Valley,58,Tennessee Martin,77,,
11/25/2002,Loyola New Orleans,58,Tulane,74,,
11/25/2002,Central Methodist,63,Southeast Missouri St.,82,,
11/25/2002,McNeese St.,65,Mississippi St.,81,,
11/25/2002,Middle Tennessee St.,65,Alabama,80,,
11/25/2002,Arkansas St.,61,Samford,70,,
11/25/2002,Coppin St.,51,Ohio St.,58,,
11/25/2002,Arkansas Pine Bluff,54,Memphis,78,,
11/25/2002,Jackson St.,62,Southern Mississippi,80,,
11/25/2002,Bradley,84,Loyola Chicago,88,,
11/25/2002,Troy St.,87,SE Louisiana,81,,
11/25/2002,New Hampshire,55,Northwestern,81,,
11/25/2002,Grambling,68,Jacksonville,82,N,"Eugene, OR"
11/25/2002,Bluefield,66,Austin Peay,90,,
11/25/2002,SIU Edwardsville,58,Murray St.,86,,
11/25/2002,Coe College,65,Iowa St.,87,,
11/25/2002,Fisk,69,Tennessee St.,65,,
11/25/2002,Milligan,67,Tennessee Tech,99,,
11/25/2002,Arizona St.,65,Kentucky,82,N,"Lahaina, HI"
11/25/2002,St. Francis NY,72,Hofstra,56,n,"Westchester, NY"
11/25/2002,Northwestern St.,56,New Mexico,60,,
11/25/2002,Texas A&M Kingsville,66,Colorado St.,91,,
11/25/2002,Furman,50,Notre Dame,75,N,"Kansas City, MO"
11/25/2002,Southern Utah,66,Washington St.,72,,
11/25/2002,UC Santa Cruz,70,Santa Clara,93,,
11/25/2002,Cal St. Northridge,77,Oregon,86,,
11/25/2002,sacramento st.,55,Loyola Marymount,88,,
11/25/2002,Nyack,44,Winthrop,86,,
11/25/2002,MD Baltimore County,57,Loyola MD,43,N,"Baltimore, MD"
11/25/2002,Towson,67,Morgan St.,53,,
11/26/2002,Florida Gulf Coast,50,Florida International,78,,
11/26/2002,Taylor (IN),77,Morehead St.,100,,
11/26/2002,Suffolk,50,Northeastern,104,,
11/26/2002,Concordia (MI),55,Texas Pan American,88,,
11/26/2002,Arizona St.,101,Chaminade,72,,
11/26/2002,Massachusetts,53,Utah,69,N,"Lahaina, HI"
11/26/2002,Dartmouth,41,Vermont,62,,
11/26/2002,Robert Morris,85,Eastern Michigan,99,,
11/26/2002,Emmanuel,54,Wofford,80,,
11/26/2002,Virginia,75,Kentucky,61,N,"Lahaina, HI"
11/26/2002,Long Island,76,Hartford,81,,
11/26/2002,Boston University,61,Boston College,80,,
11/26/2002,Howard,62,Radford,58,1,
11/26/2002,Campbell,43,Old Dominion,72,,
11/26/2002,Providence,64,South Florida,68,,
11/26/2002,Holy Cross,71,Harvard,66,,
11/26/2002,Saint Joseph's,70,Canisius,63,,
11/26/2002,Brown,69,Wagner,81,,
11/26/2002,Cornell,58,Colgate,76,,
11/26/2002,IUPU Ft. Wayne,68,Oakland,95,,
11/26/2002,Columbia,42,Binghamton,70,,
11/26/2002,IUPUI,62,Furman,70,,
11/26/2002,Slippery Rock,52,Youngstown St.,73,,
11/26/2002,Wayne St. (MI),37,Butler,60,,
11/26/2002,Cedarville,64,Wright St.,85,,
11/26/2002,Southern California,71,Rhode Island,73,1,
11/26/2002,Texas A&M,72,Miami FL,78,,
11/26/2002,Stony Brook,57,St. John's,68,,
11/26/2002,Bethune Cookman,79,Iona,98,,
11/26/2002,Illinois St.,69,Central Michigan,74,,
11/26/2002,Coastal Carolina,68,South Carolina St.,53,,
11/26/2002,Bucknell,56,Albany,53,,
11/26/2002,Anderson (SC),75,Charleston Southern,77,,
11/26/2002,Milligan,61,Lipscomb,97,,
11/26/2002,Lafayette,66,La Salle,70,,
11/26/2002,Missouri Kansas City,60,Norfolk St.,61,,
11/26/2002,Mississippi Valley St.,75,Wisconsin Milwaukee,77,,
11/26/2002,Georgia St.,71,Auburn,100,,
11/26/2002,Georgia Southern,60,Vanderbilt,96,,
11/26/2002,NC Wilmington,66,Texas San Antonio,52,,
11/26/2002,Virginia Commonwealth,73,Western Kentucky,80,1,
11/26/2002,Austin,47,Sam Houston St.,105,,
11/26/2002,Le Tourneau,50,Stephen F. Austin,101,,
11/26/2002,Mary Hardin Baylor,63,Southwest Texas St.,84,,
11/26/2002,St. Mary's (MD),56,Elon,69,,
11/26/2002,Florida A&M,53,Cincinnati,80,,
11/26/2002,Arkansas,64,Oral Roberts,76,,
11/26/2002,Indiana St.,56,Valparaiso,81,,
11/26/2002,Iowa,50,Drake,49,,
11/26/2002,Alcorn St.,67,Texas El Paso,53,,
11/26/2002,Southwest Missouri St.,72,St. Louis,64,1,
11/26/2002,Centenary,80,Louisiana Monroe,65,,
11/26/2002,Eastern Illinois,74,Marquette,97,,
11/26/2002,William & Mary,61,Liberty,62,,
11/26/2002,Stetson,43,Air Force,72,,
11/26/2002,Whitman,52,Utah St.,86,,
11/26/2002,Southern Methodist,59,Texas Tech,77,,
11/26/2002,Indiana,76,Gonzaga,75,N,"Lahaina, HI"
11/26/2002,Idaho St.,71,Boise St.,74,1,
11/26/2002,Creighton,80,Notre Dame,75,N,"Kansas City, MO"
11/26/2002,Denver,47,Montana,75,,
11/26/2002,Menlo College,73,San Jose St.,98,,
11/26/2002,Nevada,64,San Francisco,61,,
11/26/2002,Western Montana,60,Idaho,88,,
11/26/2002,St. Mary's,80,Eastern Washington,88,,
11/26/2002,Seattle,38,Oregon St.,81,,
11/26/2002,Cal St. Monterey Bay,73,Long Beach St.,84,,
11/26/2002,San Diego,86,UCLA,81,1,
11/27/2002,Trinity (TX),49,Texas A&M Corpus Chris,73,,
11/27/2002,Arizona St.,83,Utah,79,1N,"Lahaina, HI"
11/27/2002,North Georgia,81,Samford,90,,
11/27/2002,Kentucky,80,Gonzaga,72,N,"Lahaina, HI"
11/27/2002,Ohio Dominican,39,Miami OH,65,,
11/27/2002,Tennessee Wesleyan,47,Chattanooga,93,,
11/27/2002,Georgia,77,Georgia Tech,83,,
11/27/2002,Stanford,69,Florida,65,N,"New York, NY"
11/27/2002,Mercer,47,Florida St.,83,,
11/27/2002,Siena,78,Fordham,69,,
11/27/2002,St. Francis NY,85,St. Peter's,94,,
11/27/2002,Richmond,60,Hampton,61,,
11/27/2002,Massachusetts,69,Chaminade,55,,
11/27/2002,Nova Southeast,60,Florida Atlantic,86,,
11/27/2002,Swarthmore,46,Lehigh,83,,
11/27/2002,St. Mary's (MD),44,Furman,81,,
11/27/2002,Buffalo,65,Detroit,66,,
11/27/2002,Mt. St. Joseph,68,Eastern Kentucky,87,,
11/27/2002,St. Francis PA,46,Pittsburgh,69,,
11/27/2002,Evansville,59,Dayton,64,,
11/27/2002,Clemson,91,High Point,65,n,"Greensboro, NC"
11/27/2002,Davidson,69,Navy,61,,
11/27/2002,Winthrop,68,Gardner Webb,66,,
11/27/2002,Capital,45,Akron,74,,
11/27/2002,Cumberland (TN),57,Tennessee Tech,85,,
11/27/2002,The Citadel,49,Maryland,97,,
11/27/2002,Texas Arlington,45,Texas,76,,
11/27/2002,Alabama St.,58,Mississippi,74,,
11/27/2002,Cleveland St.,74,Duquesne,67,,
11/27/2002,Arkansas Pine Bluff,43,Illinois,96,,
11/27/2002,Northwestern St.,54,Baylor,82,,
11/27/2002,Troy St.,70,Southern Mississippi,77,,
11/27/2002,Tennessee Martin,77,Middle Tennessee St.,87,,
11/27/2002,Louisiana Lafayette,74,McNeese St.,76,,
11/27/2002,Jackson St.,79,New Orleans,93,,
11/27/2002,Jacksonville,60,Savannah St.,47,,
11/27/2002,IUPUI,56,Northwestern,53,,
11/27/2002,Loyola Chicago,67,Northern Illinois,69,,
11/27/2002,Colorado St.,71,Southern Illinois,83,,
11/27/2002,Chicago St.,65,Wichita St.,71,,
11/27/2002,Birmingham Southern,64,South Alabama,77,,
11/27/2002,Central Arkansas,69,Arkansas Little Rock,82,,
11/27/2002,Northern Arizona,66,Arizona,101,,
11/27/2002,Houston,53,Rice,71,,
11/27/2002,North Carolina,67,Kansas,56,N,"New York, NY"
11/27/2002,Yale,61,Wake Forest,73,,
11/27/2002,Montana Tech,58,Weber St.,94,,
11/27/2002,Colorado,71,New Mexico St.,75,,
11/27/2002,Virginia,63,Indiana,70,N,"Lahaina, HI"
11/27/2002,Notre Dame (CA),74,Cal Poly,88,,
11/27/2002,San Diego St.,86,Portland,91,,
11/27/2002,Montana St.,66,Santa Clara,69,,
11/27/2002,Dominican (CA),47,sacramento st.,62,,
11/27/2002,UAB,75,Nevada Las Vegas,84,,
11/27/2002,Oklahoma St.,98,Alaska Anchorage,69,,
11/27/2002,College of Charleston,81,Wyoming,72,N,"Anchorage, AK"
11/28/2002,Wisconsin Milwaukee,75,Southeast Missouri St.,89,N,"New Orleans, LA"
11/28/2002,Maine,65,Tulane,84,,
11/28/2002,Mississippi Valley St.,68,Texas Pan American,73,,
11/28/2002,Loyola Marymount,71,Villanova,87,N,"Anchorage, AK"
11/28/2002,Montana,60,Michigan St.,80,N,"Anchorage, AK"
11/29/2002,New York City Tech,31,Army,77,,
11/29/2002,Wyoming,77,Alaska Anchorage,69,,
11/29/2002,Bucknell,61,Columbia,47,N,"Washington, DC"
11/29/2002,Indiana St.,68,Southeast Missouri St.,55,N,"New Orleans, LA"
11/29/2002,Loyola Marymount,65,Montana,62,N,"Anchorage, AK"
11/29/2002,Florida,83,Kansas,73,N,"New York, NY"
11/29/2002,Montreat College,73,NC Asheville,102,,
11/29/2002,Ohio St.,48,Alabama,54,N,"Springfield, MA"
11/29/2002,American,61,Virginia Tech,69,,
11/29/2002,Loyola MD,53,Manhattan,65,,
11/29/2002,Binghamton,75,Long Island,66,,
11/29/2002,Rider,56,Iona,68,,
11/29/2002,South Carolina St.,65,South Carolina,82,,
11/29/2002,Mercer,60,Iowa St.,91,,
11/29/2002,Central Florida,66,Tulane,61,,
11/29/2002,Mount St. Mary's,54,George Washington,68,,
11/29/2002,Air Force,57,Arkansas St.,52,,
11/29/2002,North Texas,75,Southern Methodist,88,,
11/29/2002,Sam Houston St.,66,St. Mary's,75,N,"Fresno, CA"
11/29/2002,Southwest Texas St.,79,Texas Southern,71,,
11/29/2002,Stanford,57,North Carolina,74,N,"New York, NY"
11/29/2002,Oklahoma St.,58,College of Charleston,66,N,"Anchorage, AK"
11/29/2002,Vermont,59,Utah St.,62,N,"Hilo, HI"
11/29/2002,Idaho St.,53,Fresno St.,65,,
11/29/2002,Villanova,81,Michigan St.,73,N,"Anchorage, AK"
11/29/2002,Drake,70,Hawaii Hilo,50,,
11/30/2002,Liberty,80,New Hampshire,70,,
11/30/2002,Northern Iowa,58,Siena,69,,
11/30/2002,Duke,84,UCLA,73,N,"Indianapolis, IN"
11/30/2002,Towson,52,Georgetown,81,,
11/30/2002,Albany,55,Notre Dame,90,,
11/30/2002,Miami OH,48,Wright St.,51,,
11/30/2002,Tiffin,57,Bowling Green,91,,
11/30/2002,Southeastern (FL),55,Western Carolina,94,,
11/30/2002,Georgia,69,Minnesota,72,,
11/30/2002,Austin Peay,46,Missouri,81,,
11/30/2002,Marist,97,La Salle,80,,
11/30/2002,Delaware St.,57,Hartford,70,,
11/30/2002,Western Michigan,56,Michigan,52,,
11/30/2002,East Tennessee St.,57,NC Wilmington,78,,
11/30/2002,Central Michigan,56,DePaul,92,,
11/30/2002,Colorado St.,75,Arkansas Little Rock,84,,
11/30/2002,Harvard,56,Stony Brook,45,,
11/30/2002,Hobart,56,Colgate,92,,
11/30/2002,Wisconsin,69,Wisconsin Green Bay,52,,
11/30/2002,Lafayette,62,Arizona St.,85,,
11/30/2002,Texas A&M,79,Louisiana St.,77,N,"Houston, TX"
11/30/2002,Covenant,65,Birmingham Southern,108,,
11/30/2002,Jacksonville,65,Mississippi St.,100,,
11/30/2002,Coastal Carolina,49,Campbell,65,,
11/30/2002,Eastern Kentucky,69,IUPU Ft. Wayne,76,,
11/30/2002,Washington & Lee,48,Davidson,105,,
11/30/2002,Purdue,86,Louisville,84,N,"Indianapolis, IN"
11/30/2002,Brown,97,Navy,92,1,
11/30/2002,St. Louis,56,St. Bonaventure,54,n,"Rochester, NY"
11/30/2002,Wagner,80,Virginia Commonwealth,72,,
11/30/2002,Canisius,89,Niagara,69,,
11/30/2002,Southwest Missouri St.,84,Kent St.,88,1,
11/30/2002,Alabama St.,67,Florida A&M,68,,
11/30/2002,Elon,68,MD Eastern Shore,64,,
11/30/2002,Morris Brown,54,Southern California,93,,
11/30/2002,Indiana St.,59,Wisconsin Milwaukee,71,N,"New Orleans, LA"
11/30/2002,Montana,52,Alaska Anchorage,69,,
11/30/2002,Seton Hall,61,Texas,78,n,"Houston, TX"
11/30/2002,Texas Pan American,62,Quinnipiac,72,n,"Hempstead, NY"
11/30/2002,Texas Wesleyan,65,Texas Arlington,81,,
11/30/2002,Tulsa,61,Arkansas,60,,
11/30/2002,Fordham,75,Northeastern,99,,
11/30/2002,Akron,88,Oakland,84,,
11/30/2002,Eastern Washington,48,Denver,69,,
